user_id,full_name,role,email,org_id,region,created_at,updated_at
5001,User 1,agent,user1@example.com,1006,NA,2025-04-23 18:58:59,2025-05-12 09:35:08
5002,User 2,requester,user2@example.com,1002,APAC,2025-04-18 09:46:02,2025-05-27 13:06:40
5003,User 3,requester,user3@example.com,1010,EMEA,2025-03-31 12:18:02,2025-05-14 11:58:45
5004,User 4,requester,user4@example.com,1002,EMEA,2025-03-22 06:34:31,2025-06-01 00:27:55
5005,User 5,requester,user5@example.com,1010,EMEA,2025-05-01 08:39:20,2025-07-06 10:23:10
5006,User 6,requester,user6@example.com,1004,NA,2025-03-31 07:54:48,2025-06-09 14:50:28
5007,User 7,requester,user7@example.com,1008,NA,2025-03-19 03:17:42,2025-06-10 03:32:59
5008,User 8,requester,user8@example.com,1007,NA,2025-03-19 08:03:34,2025-05-25 05:47:19
5009,User 9,agent,user9@example.com,1009,APAC,2025-04-25 20:59:35,2025-05-30 22:20:21
5010,User 10,agent,user10@example.com,1008,EMEA,2025-04-13 16:28:16,2025-08-05 05:29:28
5011,User 11,agent,user11@example.com,1005,NA,2025-04-23 20:33:14,2025-07-07 15:43:55
5012,User 12,requester,user12@example.com,1002,NA,2025-04-19 23:40:41,2025-07-03 19:17:42
5013,User 13,requester,user13@example.com,1005,NA,2025-04-10 07:28:25,2025-05-21 10:37:31
5014,User 14,requester,user14@example.com,1008,NA,2025-05-02 03:44:20,2025-07-15 16:24:18
5015,User 15,requester,user15@example.com,1010,EMEA,2025-04-02 10:14:28,2025-05-20 16:14:39
5016,User 16,requester,user16@example.com,1009,EMEA,2025-04-11 02:26:55,2025-06-11 01:35:10
5017,User 17,requester,user17@example.com,1009,APAC,2025-04-24 23:17:08,2025-08-10 11:06:26
5018,User 18,requester,user18@example.com,1001,NA,2025-04-14 10:13:25,2025-07-06 20:38:21
5019,User 19,agent,user19@example.com,1009,NA,2025-04-26 14:02:53,2025-06-28 15:18:45
5020,User 20,requester,user20@example.com,1007,EMEA,2025-04-12 08:49:21,2025-07-11 06:38:36
5021,User 21,requester,user21@example.com,1009,EMEA,2025-04-18 17:29:10,2025-07-26 22:36:58
5022,User 22,requester,user22@example.com,1008,EMEA,2025-03-16 18:59:21,2025-07-20 07:46:32
5023,User 23,requester,user23@example.com,1001,EMEA,2025-03-25 21:28:40,2025-05-27 04:13:05
5024,User 24,requester,user24@example.com,1008,NA,2025-03-28 23:15:56,2025-05-07 16:16:12
